,type_bin,count,district,Year
0,Other,39620,1,2022
1,Dead Animals and Pests,1572,1,2022
2,Safety Concerns,851,1,2022
3,Needle Pickup,463,1,2022
4,Lack of Utilities,39,1,2022
0,Other,50526,2,2022
1,Needle Pickup,2382,2,2022
2,Dead Animals and Pests,1989,2,2022
3,Safety Concerns,1266,2,2022
4,Lack of Utilities,56,2,2022
0,Other,22696,3,2022
1,Needle Pickup,1075,3,2022
2,Safety Concerns,1148,3,2022
3,Dead Animals and Pests,1586,3,2022
4,Lack of Utilities,48,3,2022
0,Other,19057,4,2022
1,Safety Concerns,1327,4,2022
2,Dead Animals and Pests,897,4,2022
3,Needle Pickup,121,4,2022
4,Lack of Utilities,124,4,2022
0,Other,20490,5,2022
1,Dead Animals and Pests,1038,5,2022
2,Safety Concerns,811,5,2022
3,Needle Pickup,51,5,2022
4,Lack of Utilities,45,5,2022
0,Other,22831,6,2022
1,Dead Animals and Pests,1113,6,2022
2,Safety Concerns,798,6,2022
3,Needle Pickup,213,6,2022
4,Lack of Utilities,39,6,2022
0,Other,26796,7,2022
1,Needle Pickup,1512,7,2022
2,Safety Concerns,1435,7,2022
3,Dead Animals and Pests,1556,7,2022
4,Lack of Utilities,108,7,2022
0,Other,22252,8,2022
1,Dead Animals and Pests,1284,8,2022
2,Safety Concerns,684,8,2022
3,Needle Pickup,460,8,2022
4,Lack of Utilities,15,8,2022
0,Other,20107,9,2022
1,Safety Concerns,1329,9,2022
2,Dead Animals and Pests,1609,9,2022
3,Needle Pickup,542,9,2022
4,Lack of Utilities,34,9,2022
0,Other,38164,1,2021
1,Dead Animals and Pests,1507,1,2021
2,Safety Concerns,874,1,2021
3,Needle Pickup,514,1,2021
4,Lack of Utilities,37,1,2021
0,Other,50842,2,2021
1,Needle Pickup,3017,2,2021
2,Safety Concerns,1325,2,2021
3,Dead Animals and Pests,1770,2,2021
4,Lack of Utilities,37,2,2021
0,Other,23437,3,2021
1,Needle Pickup,1037,3,2021
2,Safety Concerns,1208,3,2021
3,Dead Animals and Pests,1292,3,2021
4,Lack of Utilities,38,3,2021
0,Other,20673,4,2021
1,Safety Concerns,1353,4,2021
2,Dead Animals and Pests,894,4,2021
3,Needle Pickup,98,4,2021
4,Lack of Utilities,109,4,2021
0,Other,20816,5,2021
1,Dead Animals and Pests,936,5,2021
2,Safety Concerns,847,5,2021
3,Needle Pickup,68,5,2021
4,Lack of Utilities,43,5,2021
0,Other,22393,6,2021
1,Dead Animals and Pests,1130,6,2021
2,Safety Concerns,741,6,2021
3,Needle Pickup,197,6,2021
4,Lack of Utilities,47,6,2021
0,Other,26234,7,2021
1,Needle Pickup,1851,7,2021
2,Safety Concerns,1550,7,2021
3,Dead Animals and Pests,1336,7,2021
4,Lack of Utilities,112,7,2021
